[2019-07-25 3348.954][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3348.954][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3348.954][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 7000
[2019-07-25 3348.954][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3348.954][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3348.954][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3348.954][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3348.954][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3349.266][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-1, 5957266,5956954,313
[2019-07-25 3349.984][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3349.984][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3349.984][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 7000
[2019-07-25 3349.984][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3349.984][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3349.984][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3349.984][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3349.984][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3350.265][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-1, 5958265,5957968,298
[2019-07-25 3350.998][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
